iteration,scale_type,d_value
163,Coded (1-5),0.9194429306180119
163,True Scale,0.747498403131938
164,Coded (1-5),0.7539514647562431
164,True Scale,0.5804377575284175
165,Coded (1-5),0.903485584291275
165,True Scale,0.7628401913839312
166,Coded (1-5),0.8867861131014685
166,True Scale,0.7066878285385588
167,Coded (1-5),0.9783349789063089
167,True Scale,0.7487574177098786
168,Coded (1-5),0.6143894181313059
168,True Scale,0.4168758977947196
169,Coded (1-5),0.7277898171871455
169,True Scale,0.6233901640156034
170,Coded (1-5),0.9126418405657781
170,True Scale,0.79573080684436
171,Coded (1-5),0.7855272776702911
171,True Scale,0.516349277580467
172,Coded (1-5),1.072638014030045
172,True Scale,0.93605552870541
173,Coded (1-5),0.932965463546962
173,True Scale,0.814944578470727
174,Coded (1-5),0.949162794314665
174,True Scale,0.760974947406369
175,Coded (1-5),0.6668553483960781
175,True Scale,0.4118359899939712
176,Coded (1-5),0.7854863232704589
176,True Scale,0.5790417163470648
177,Coded (1-5),0.7397649734577026
177,True Scale,0.6603800205085033
178,Coded (1-5),0.9713253398662611
178,True Scale,0.7714269436024636
179,Coded (1-5),0.7961997273379082
179,True Scale,0.6235037210616492
180,Coded (1-5),0.5987131352477222
180,True Scale,0.527181902685947
181,Coded (1-5),0.785682977145559
181,True Scale,0.6114528513635996
182,Coded (1-5),0.8193007758350113
182,True Scale,0.5643135086402168
183,Coded (1-5),0.7467231098015391
183,True Scale,0.6969328111125629
184,Coded (1-5),0.6554051387235513
184,True Scale,0.5005383322928209
185,Coded (1-5),0.7609675005354195
185,True Scale,0.6108871711031431
186,Coded (1-5),0.7705213484555682
186,True Scale,0.5331210929583378
187,Coded (1-5),1.1784742591448192
187,True Scale,0.9730396031029225
188,Coded (1-5),0.5529459763134396
188,True Scale,0.37076655495583144
189,Coded (1-5),0.734268312232933
189,True Scale,0.48632543482709534
190,Coded (1-5),0.7991288443470663
190,True Scale,0.7314008612432268
191,Coded (1-5),0.5276725465670737
191,True Scale,0.2637325293067882
192,Coded (1-5),0.907646378274442
192,True Scale,0.7362423085125253
193,Coded (1-5),0.8007421707092088
193,True Scale,0.6818687987512291
194,Coded (1-5),0.675568025340709
194,True Scale,0.5610121985235387
195,Coded (1-5),0.8667512542676212
195,True Scale,0.6495068119511255
196,Coded (1-5),0.835507949297473
196,True Scale,0.5637368279104553
197,Coded (1-5),0.7407034911879717
197,True Scale,0.4562025862927389
198,Coded (1-5),0.8015806716028795
198,True Scale,0.5559192986598689
199,Coded (1-5),0.6975755611054263
199,True Scale,0.35448108069315376
200,Coded (1-5),1.0651820390647446
200,True Scale,0.8382016015376268
201,Coded (1-5),0.7952015006735587
201,True Scale,0.6986428221510879
202,Coded (1-5),1.0588450637247002
202,True Scale,0.7366798072836968
203,Coded (1-5),0.6774098612890675
203,True Scale,0.541459845493495
204,Coded (1-5),0.7562751597628138
204,True Scale,0.5474144178631289
205,Coded (1-5),0.9956512612931011
205,True Scale,0.7603859973557553
206,Coded (1-5),0.9555663813300527
206,True Scale,0.7561096488437639
207,Coded (1-5),0.6991996263128158
207,True Scale,0.43255084912139646
208,Coded (1-5),0.6350958770584516
208,True Scale,0.4653508947100196
209,Coded (1-5),0.4799650947168936
209,True Scale,0.3406456996084397
210,Coded (1-5),0.876037590783133
210,True Scale,0.6816018168445822
211,Coded (1-5),0.7869466256159287
211,True Scale,0.55128652621018015
212,Coded (1-5),0.7783142674170288
212,True Scale,0.5879933638583746
213,Coded (1-5),1.1849778178993686
213,True Scale,0.7376167649718911
214,Coded (1-5),0.913835480739051
214,True Scale,0.630640852218323
215,Coded (1-5),0.8275548675607735
215,True Scale,0.6762012533021243
216,Coded (1-5),0.9045044704448146
216,True Scale,0.6290223802551544
217,Coded (1-5),0.8062962133169778
217,True Scale,0.5449998357574594
218,Coded (1-5),0.9806200212569545
218,True Scale,0.611305389796073
219,Coded (1-5),0.9051690352457701
219,True Scale,0.7235490043174289
220,Coded (1-5),0.7316322619567959
220,True Scale,0.49915106186952163
221,Coded (1-5),0.9411344444622096
221,True Scale,0.6698392093006236
222,Coded (1-5),0.6941936054911209
222,True Scale,0.5514074712865807
223,Coded (1-5),0.8885364123680091
223,True Scale,0.5521799456596075
224,Coded (1-5),0.8533796814630317
224,True Scale,0.6022585372132451
225,Coded (1-5),1.0158367805815813
225,True Scale,0.7803331666737888
226,Coded (1-5),0.9062378100287981
226,True Scale,0.7304028144269121
227,Coded (1-5),0.9904343671544563
227,True Scale,0.7113412251218739
228,Coded (1-5),0.9598046804251377
228,True Scale,0.6816431059608167
229,Coded (1-5),0.738854590274988
229,True Scale,0.5763587252548853
230,Coded (1-5),0.9489148120175468
230,True Scale,0.726226809964861
231,Coded (1-5),1.024778029572627
231,True Scale,0.8017077459621598
232,Coded (1-5),0.8668524925152674
232,True Scale,0.7811336739027037
233,Coded (1-5),1.1694142614195397
233,True Scale,0.8854842911986647
234,Coded (1-5),0.9563781772275524
234,True Scale,0.6648688544932946
235,Coded (1-5),0.6865258468063219
235,True Scale,0.4474355762040429
236,Coded (1-5),0.7795249035039019
236,True Scale,0.5521196315020259
237,Coded (1-5),0.8483153199243211
237,True Scale,0.5681074658877907
238,Coded (1-5),1.0384821978422503
238,True Scale,0.7418426311641391
239,Coded (1-5),0.8231955594075612
239,True Scale,0.5848697422629439
240,Coded (1-5),0.7748803344264005
240,True Scale,0.47765247921428294
241,Coded (1-5),1.0301916031937057
241,True Scale,0.6606297671688036
242,Coded (1-5),0.8133990853035685
242,True Scale,0.570479563949464
243,Coded (1-5),0.6282498388011264
243,True Scale,0.3452017825122912
244,Coded (1-5),0.704847880053628
244,True Scale,0.5077015920493836
245,Coded (1-5),0.737619983912581
245,True Scale,0.5028947447806661
246,Coded (1-5),0.8100999610558285
